DateTime,PA07:NO2,PA07:NO,PA07:NOX,OBJECTID
2023/01/05 17:00:00+00,25.5,2,28.7,117
2023/01/05 18:00:00+00,27.5,1,29,118
2023/01/05 19:00:00+00,26.2,0.6,27.1,119
2023/01/05 20:00:00+00,20,0.5,20.8,120
2023/01/05 21:00:00+00,16.2,0.2,16.6,121
2023/01/05 22:00:00+00,22.4,0.9,23.7,122
2023/01/05 23:00:00+00,12.5,0,12.5,123
2023/01/06 00:00:00+00,12.3,0,12.3,124
2023/01/06 01:00:00+00,7.6,0,7.4,125
2023/01/06 02:00:00+00,5.8,0,5.6,126
2023/01/06 03:00:00+00,5.4,0,5.2,127
2023/01/06 04:00:00+00,5.4,0,5.1,128
2023/01/06 05:00:00+00,6.9,0,6.7,129
2023/01/06 06:00:00+00,12.3,0.2,12.7,130
2023/01/06 07:00:00+00,18.9,0.6,19.8,131
2023/01/06 08:00:00+00,26.1,1.3,28.1,132
2023/01/06 09:00:00+00,26.3,1.3,28.3,133
2023/01/06 10:00:00+00,21.3,2.1,24.6,134
2023/01/06 11:00:00+00,16.7,1.1,18.4,135
2023/01/06 12:00:00+00,14.7,0.9,16.2,136
2023/01/06 13:00:00+00,17.5,2.1,20.7,137
2023/01/06 14:00:00+00,17.6,3,20.9,138
2023/01/06 15:00:00+00,14.1,0.7,15.2,139
2023/01/06 16:00:00+00,15.3,0.3,15.8,140
2023/01/06 17:00:00+00,17.6,0.7,18.7,141
2023/01/06 18:00:00+00,18.2,0.1,18.3,142
2023/01/06 19:00:00+00,18.5,0.8,19.6,143
2023/01/06 20:00:00+00,17.9,0.9,19.3,144
2023/01/06 21:00:00+00,14.9,0.2,15.3,145
2023/01/06 22:00:00+00,17.1,0.3,17.6,146
2023/01/06 23:00:00+00,18.1,0.3,18.6,147
2023/01/07 00:00:00+00,15,0.1,15.2,148
2023/01/07 01:00:00+00,10.3,0,10.3,149
2023/01/07 02:00:00+00,8.3,0,8.2,150
2023/01/07 03:00:00+00,9,0,9,151
2023/01/07 04:00:00+00,10.5,0,10.6,152
2023/01/07 05:00:00+00,10.4,0,10.4,153
2023/01/07 06:00:00+00,13.8,0.2,14.1,154
2023/01/07 07:00:00+00,14.4,0.3,14.9,155
2023/01/07 08:00:00+00,16.7,0.5,17.5,156
2023/01/07 09:00:00+00,18.1,1.2,19.9,157
2023/01/07 10:00:00+00,16.8,2.6,20.9,158
2023/01/07 11:00:00+00,13,1.7,15.6,159
2023/01/07 12:00:00+00,11.8,1.7,14.5,160
2023/01/07 13:00:00+00,8.6,0.8,9.8,161
2023/01/07 14:00:00+00,8,0.5,8.7,162
2023/01/07 15:00:00+00,9.9,0.4,10.6,163
2023/01/07 16:00:00+00,10.6,0.3,11,164
2023/01/07 17:00:00+00,12.4,0.4,13.1,165
2023/01/07 18:00:00+00,11.9,0.6,12.9,166
2023/01/07 19:00:00+00,10.6,0.3,11.1,167
2023/01/07 20:00:00+00,9.8,0.2,10.2,168
2023/01/07 21:00:00+00,8.6,0.2,9,169
2023/01/07 22:00:00+00,7.3,0.2,7.6,170
2023/01/07 23:00:00+00,6.9,0.1,7.1,171
2023/01/08 00:00:00+00,7.2,0.1,7.2,172
2023/01/08 01:00:00+00,5.6,0,5.5,173
2023/01/08 02:00:00+00,4.6,0,4.4,174
2023/01/08 03:00:00+00,4.2,0,4,175
2023/01/08 04:00:00+00,3.8,0,3.7,176
2023/01/08 05:00:00+00,3.5,0,3.3,177
2023/01/08 06:00:00+00,4.2,0,4,178
2023/01/08 07:00:00+00,8.7,0,8.7,179
2023/01/08 08:00:00+00,11.3,0,11.4,180
2023/01/08 09:00:00+00,11.1,0.4,11.6,181
2023/01/08 10:00:00+00,11.4,0.7,12.5,182
2023/01/08 11:00:00+00,8.2,0.7,9.4,183
2023/01/08 12:00:00+00,8.1,0.9,9.5,184
2023/01/08 13:00:00+00,7.7,0.6,8.7,185
2023/01/08 14:00:00+00,8.1,0.5,9,186
2023/01/08 15:00:00+00,8.5,0.3,9,187
2023/01/08 16:00:00+00,9.2,0.2,9.5,188
2023/01/08 17:00:00+00,9.5,0.1,9.6,189
2023/01/08 18:00:00+00,10.5,0.1,10.8,190
2023/01/08 19:00:00+00,11.2,0.1,11.5,191
2023/01/08 20:00:00+00,14.5,0.3,14.8,192
